0.259896490	80
0.259921075	23
0.259931867	53
0.259941785	22
0.259951211	21
0.259960688	25
0.259971126	9
0.259980603	38
0.259990696	45
0.260001881	17
0.261021595	22
1.361090514	95
1.361117792	39
1.361128052	52
1.361137290	77
1.361146794	32
1.361156566	24
1.361166338	31
1.361177547	98
1.361188572	64
1.361199293	92
1.361209539	16
1.361219091	28
1.361229184	96
1.361238943	50
1.361248374	60
1.361257929	14
1.361268076	66
1.361278379	12
1.361289821	49
1.361299420	76
1.361309643	41
1.361341589	65
1.361352026	59
1.361354041	67
1.361355514	87
1.361357699	43
1.361362493	18
1.361374122	97
1.361382882	26
1.361392090	100
1.361401591	37
1.361412128	11
1.361422382	34
1.361432291	56
1.361441328	51
1.361450131	69
1.361459129	55
1.361467681	10
1.361477233	94
1.361486126	89
1.361495234	36
1.361504137	99
1.361512493	20
1.361521734	85
1.361531208	6
1.361541676	8
1.361551852	61
1.361561694	2
1.361574804	79
1.361586170	4
1.363740968	75
1.363763104	13
1.363776161	54
1.363785856	91
1.363794786	42
1.363804044	35
1.363815377	27
1.363827280	30
1.363840066	74
1.363852968	70
1.363863870	82
1.363876615	63
1.363888983	44
1.363898014	3
1.363907321	84
1.363916699	83
1.363926161	93
1.363935629	46
1.363946236	48
1.363955537	40
1.363966662	68
1.363976758	72
1.363985913	7
1.363995405	86
1.364006232	19
1.364016388	88
1.364026401	29
1.364036050	15
1.364045468	78
1.364055133	62
1.364067017	58
1.364079037	90
1.364090683	57
1.364101732	33
1.364112680	1
1.364124660	71
1.364135278	73
1.364144141	47
1.364153078	5
1.364161781	81
1.367076485	7
1.367104304	19
