Time	Seq	Ack	Win	Len
0.001112182	0	1	28960	0
0.002872614	1	1	227	74
0.007502053	75	1	227	1448
0.008724391	1523	1	227	1448
0.009771854	2971	1	227	1448
0.011045289	4419	1	227	1448
0.012266602	5867	1	227	1448
0.013497908	7315	1	227	1448
0.014742207	8763	1	227	1448
0.015972588	10211	1	227	1448
0.017250841	11659	1	227	1448
0.018511891	13107	1	227	1448
0.019800434	14555	1	227	1448
0.021050358	16003	1	227	1448
0.022314522	17451	1	227	1448
0.023500302	18899	1	227	1448
0.024750105	20347	1	227	1448
0.025986764	21795	1	227	1448
0.027221569	23243	1	227	1448
0.028248766	24691	1	227	1448
0.029503272	26139	1	227	1448
0.030719781	27587	1	227	1448
0.031981653	29035	1	227	1448
0.033226901	30483	1	227	1448
0.034473905	31931	1	227	1448
0.035754012	33379	1	227	1448
0.037007418	34827	1	227	1448
0.038231444	36275	1	227	1448
0.039480421	37723	1	227	1448
0.040768218	39171	1	227	1448
0.041998602	40619	1	227	1448
0.043245868	42067	1	227	1448
0.044555839	43515	1	227	1448
0.045772708	44963	1	227	1448
0.046750157	46411	1	227	1448
0.048001582	47859	1	227	1448
0.049248830	49307	1	227	1448
0.050506449	50755	1	227	1448
0.051774679	52203	1	227	1448
0.053024200	53651	1	227	1448
0.054248286	55099	1	227	1448
0.055498378	56547	1	227	1448
0.056773026	57995	1	227	1448
0.057998780	59443	1	227	1448
0.059246352	60891	1	227	1448
0.060496271	62339	1	227	1448
0.061766622	63787	1	227	1448
0.062981975	65235	1	227	1448
0.064226779	66683	1	227	1448
0.065225608	68131	1	227	1448
0.066476271	69579	1	227	1448
0.067729083	71027	1	227	1448
0.068974498	72475	1	227	1448
0.070222876	73923	1	227	1448
0.071476576	75371	1	227	1448
0.072725903	76819	1	227	1448
0.073972652	78267	1	227	1448
0.075240059	79715	1	227	1448
0.076485697	81163	1	227	1448
0.077725175	82611	1	227	1448
0.078981880	84059	1	227	1448
0.080250974	85507	1	227	1448
0.081501353	86955	1	227	1448
0.082495252	88403	1	227	1448
0.083748735	89851	1	227	1448
0.084998220	91299	1	227	1448
0.086241967	92747	1	227	1448
0.087492850	94195	1	227	1448
0.088742955	95643	1	227	1448
0.089975117	97091	1	227	1448
0.091243274	98539	1	227	1448
0.092500507	99987	1	227	1448
0.093744148	101435	1	227	1448
0.094995293	102883	1	227	1448
0.096245081	104331	1	227	1448
0.097478874	105779	1	227	1448
0.098746494	107227	1	227	1448
0.100003432	108675	1	227	1448
0.101003437	110123	1	227	1448
0.102255342	111571	1	227	1448
0.103504691	113019	1	227	1448
0.104755425	114467	1	227	1448
0.105999016	115915	1	227	1448
0.107249816	117363	1	227	1448
0.108483624	118811	1	227	1448
0.109734056	120259	1	227	1448
0.110983436	121707	1	227	1448
0.112234742	123155	1	227	1448
0.113509018	124603	1	227	1448
0.114760464	126051	1	227	1448
0.115995500	127499	1	227	1448
0.117262663	128947	1	227	1448
0.118253288	130395	1	227	1448
0.119516038	131843	1	227	1448
0.120756029	133291	1	227	1448
0.122006031	134739	1	227	1448
0.123255677	136187	1	227	1448
0.124506744	137635	1	227	1448
0.125756986	139083	1	227	1448
0.127007528	140531	1	227	1448
0.128265149	141979	1	227	1448
0.129516010	143427	1	227	1448
0.130766473	144875	1	227	1448
0.132016192	146323	1	227	1448
0.133266610	147771	1	227	1448
0.134517053	149219	1	227	1448
0.135767907	150667	1	227	1448
0.136767578	152115	1	227	1448
0.138018683	153563	1	227	1448
0.139268792	155011	1	227	1448
0.140519159	156459	1	227	1448
0.141771178	157907	1	227	1448
0.143021346	159355	1	227	1448
0.144269423	160803	1	227	1448
0.145519774	162251	1	227	1448
0.146770870	163699	1	227	1448
0.148020765	165147	1	227	1448
0.149270837	166595	1	227	1448
0.150503196	168043	1	227	1448
0.151751864	169491	1	227	1448
0.153027973	170939	1	227	1448
0.154036145	172387	1	227	1448
0.155267751	173835	1	227	1448
0.156535183	175283	1	227	1448
0.157777439	176731	1	227	1448
0.159026144	178179	1	227	1448
0.160275154	179627	1	227	1448
0.161526986	181075	1	227	1448
0.162776984	182523	1	227	1448
0.164026942	183971	1	227	1448
0.165277417	185419	1	227	1448
0.166527169	186867	1	227	1448
0.167777801	188315	1	227	1448
0.169025931	189763	1	227	1448
0.170275465	191211	1	227	1448
0.171527642	192659	1	227	1448
0.172526081	194107	1	227	1448
0.173776257	195555	1	227	1448
0.175026699	197003	1	227	1448
0.176276773	198451	1	227	1448
0.177526988	199899	1	227	1448
0.178776377	201347	1	227	1448
0.180027484	202795	1	227	1448
0.181277167	204243	1	227	1448
0.182506205	205691	1	227	1448
0.183756362	207139	1	227	1448
0.185008418	208587	1	227	1448
0.186257078	210035	1	227	1448
0.187507990	211483	1	227	1448
0.188780505	212931	1	227	1448
0.190035482	214379	1	227	1448
0.191010944	215827	1	227	1448
0.192272957	217275	1	227	1448
0.193512855	218723	1	227	1448
0.194758005	220171	1	227	1448
0.196008498	221619	1	227	1448
0.197257528	223067	1	227	1448
0.198508269	224515	1	227	1448
0.199758128	225963	1	227	1448
0.201008243	227411	1	227	1448
0.202258140	228859	1	227	1448
0.203531825	230307	1	227	1448
0.204781636	231755	1	227	1448
0.206040905	233203	1	227	1448
0.207291134	234651	1	227	1448
0.208540454	236099	1	227	1448
0.209540470	237547	1	227	1448
0.210790989	238995	1	227	1448
0.212040697	240443	1	227	1448
0.213290675	241891	1	227	1448
0.214540480	243339	1	227	1448
0.215790960	244787	1	227	1448
0.217040250	246235	1	227	1448
0.218290442	247683	1	227	1448
0.219540537	249131	1	227	1448
0.220785646	250579	1	227	1448
0.222036079	252027	1	227	1448
0.223285903	253475	1	227	1448
0.224536204	254923	1	227	1448
0.225787018	256371	1	227	1448
0.226788252	257819	1	227	1448
0.228014387	259267	1	227	1448
0.229287606	260715	1	227	1448
0.230513954	262163	1	227	1448
0.231770781	263611	1	227	1448
0.233010712	265059	1	227	1448
0.234275927	266507	1	227	1448
0.235570022	267955	1	227	1448
0.236795728	269403	1	227	1448
0.238047006	270851	1	227	1448
0.239294539	272299	1	227	1448
0.240544581	273747	1	227	1448
0.241794623	275195	1	227	1448
0.243042079	276643	1	227	1448
0.244294366	278091	1	227	1448
0.245291943	279539	1	227	1448
0.246544781	280987	1	227	1448
0.247794472	282435	1	227	1448
0.249045209	283883	1	227	1448
0.250292083	285331	1	227	1448
0.251544373	286779	1	227	1448
0.252793974	288227	1	227	1448
0.254044190	289675	1	227	1448
0.255294152	291123	1	227	1448
0.256543262	292571	1	227	1448
0.257793808	294019	1	227	1448
0.259045346	295467	1	227	1448
0.260294543	296915	1	227	1448
0.261545324	298363	1	227	1448
0.262793940	299811	1	227	1448
0.263791566	301259	1	227	1448
0.265042705	302707	1	227	1448
0.266294854	304155	1	227	1448
0.267542828	305603	1	227	1448
0.268793823	307051	1	227	1448
0.270044122	308499	1	227	1448
0.271299801	309947	1	227	1448
0.272545131	311395	1	227	1448
0.273773213	312843	1	227	1448
0.275053251	314291	1	227	1448
0.276301533	315739	1	227	1448
0.277548753	317187	1	227	1448
0.278787149	318635	1	227	1448
0.280029515	320083	1	227	1448
0.281278161	321531	1	227	1448
0.282310038	322979	1	227	1448
0.283551845	324427	1	227	1448
0.284802405	325875	1	227	1448
0.286052674	327323	1	227	1448
0.287301509	328771	1	227	1448
0.288527298	330219	1	227	1448
0.289803675	331667	1	227	1448
0.291053299	333115	1	227	1448
0.292303946	334563	1	227	1448
0.293551395	336011	1	227	1448
0.294803849	337459	1	227	1448
0.296029730	338907	1	227	1448
0.297278732	340355	1	227	1448
0.298529683	341803	1	227	1448
0.299779752	343251	1	227	1448
0.300779326	344699	1	227	1448
0.302030637	346147	1	227	1448
0.303281595	347595	1	227	1448
0.304523936	349043	1	227	1448
0.305773420	350491	1	227	1448
0.307022754	351939	1	227	1448
0.308274252	353387	1	227	1448
0.309523823	354835	1	227	1448
0.310773821	356283	1	227	1448
0.312024876	357731	1	227	1448
0.313273528	359179	1	227	1448
0.314524659	360627	1	227	1448
0.315774032	362075	1	227	1448
0.317027790	363523	1	227	1448
0.318025103	364971	1	227	1448
0.319279849	366419	1	227	1448
0.320535824	367867	1	227	1448
0.321791538	369315	1	227	1448
0.323042582	370763	1	227	1448
0.324288411	372211	1	227	1448
0.325537761	373659	1	227	1448
0.326815212	375107	1	227	1448
0.328059585	376555	1	227	1448
0.329310806	378003	1	227	1448
0.330561292	379451	1	227	1448
0.331810907	380899	1	227	1448
0.333059686	382347	1	227	1448
0.334330065	383795	1	227	1448
0.335561316	385243	1	227	1448
0.336561703	386691	1	227	1448
0.337809439	388139	1	227	1448
0.339061449	389587	1	227	1448
0.340282372	391035	1	227	1448
0.341528664	392483	1	227	1448
0.342781055	393931	1	227	1448
0.344032346	395379	1	227	1448
0.345282026	396827	1	227	1448
0.346535769	398275	1	227	1448
0.347795982	399723	1	227	1448
0.349053018	401171	1	227	1448
0.350283656	402619	1	227	1448
0.351533622	404067	1	227	1448
0.352781331	405515	1	227	1448
0.354033200	406963	1	227	1448
0.355032717	408411	1	227	1448
0.356282195	409859	1	227	1448
0.357536047	411307	1	227	1448
0.358787893	412755	1	227	1448
0.360040510	414203	1	227	1448
0.361297511	415651	1	227	1448
0.362536540	417099	1	227	1448
0.363817270	418547	1	227	1448
0.365077837	419995	1	227	1448
0.366318105	421443	1	227	1448
0.367567986	422891	1	227	1448
0.368788919	424339	1	227	1448
0.370071963	425787	1	227	1448
0.371289389	427235	1	227	1448
0.372318393	428683	1	227	1448
0.373560095	430131	1	227	1448
0.374812106	431579	1	227	1448
0.376040869	433027	1	227	1448
0.377290220	434475	1	227	1448
0.378539754	435923	1	227	1448
0.379790867	437371	1	227	1448
0.381101934	438819	1	227	1448
0.382329159	440267	1	227	1448
0.383558192	441715	1	227	1448
